hgnc_symbol	chromosome_name
ACP1	2
ACP2	11
ACP5	19
ACP6	1
ACPP	3
ACR	22
ACRBP	12
ACRC	X
ACSBG1	15
ACSBG2	19
ACSF2	17
ACSF3	16
ACSL3	2
ACSL4	X
ACSL5	10
ACSL6	5
ACSS1	20
ACSS2	20
ACTA2	10
ACTB	7
ACTBL2	5
ACTG1	17
ACTG2	2
ACTL10	20
ACTL6A	3
ACTN1	14
ACTN4	19
ACTR10	14
ACTR1A	10
ACTR1B	2
ACTR2	2
ACTR3	2
ACTR3B	7
ACTR3C	7
ACTR5	20
ACTR6	12
ACTR8	3
ACTRT3	3
ACVR1	2
ACVR1B	12
ACVR2A	2
ACVR2B	3
ACVR2B-AS1	3
ACVRL1	12
ACY1	3
ACY3	11
ACYP1	14
ACYP2	2
ADA	20
ADAD2	16
ADAL	15
ADAM10	15
ADAM11	17
ADAM12	10
ADAM15	1
ADAM17	2
ADAM19	5
ADAM21	14
ADAM22	7
ADAM23	2
ADAM28	8
ADAM32	8
ADAM33	20
ADAM3A	8
ADAM6	14
ADAM8	10
ADAM9	8
ADAMTS1	21
ADAMTS10	19
ADAMTS12	5
ADAMTS13	9
ADAMTS14	10
ADAMTS15	11
ADAMTS16	5
ADAMTS17	15
ADAMTS18	16
ADAMTS2	5
ADAMTS3	4
ADAMTS4	1
ADAMTS5	21
ADAMTS6	5
ADAMTS7	15
ADAMTS9	3
ADAMTSL1	9
ADAMTSL2	9
ADAMTSL3	15
ADAMTSL4	1
ADAMTSL5	19
ADAP1	7
ADAP2	17
ADAR	1
ADARB1	21
ADAT1	16
ADAT2	6
ADAT3	19
ADCK1	14
ADCK2	7
ADCK3	1
ADCK4	19
ADCK5	8
ADCY10P1	6
ADCY3	2
ADCY4	14
ADCY5	3
ADCY6	12
ADCY7	16
ADCY9	16
ADCYAP1R1	7
ADD1	4
ADD2	2
ADD3	10
ADGB	6
ADGRA2	8
ADGRA3	4
ADGRB1	8
ADGRB2	1
ADGRB3	6
ADGRD1	12
ADGRE1	19
ADGRE2	19
ADGRE4P	19
ADGRE5	19
ADGRF1	6
ADGRF3	2
ADGRF5	6
ADGRG1	16
ADGRG3	16
ADGRG5	16
ADGRG6	6
ADGRL1	19
ADGRL2	1
ADGRL3	4
ADGRL4	1
ADGRV1	5
ADH1B	4
ADH1C	4
ADH5	4
ADH6	4
ADHFE1	8
ADI1	2
ADIPOR1	1
ADIPOR2	12
ADIRF	10
ADK	10
ADM	11
ADM2	22
ADM5	19
ADNP	20
ADNP2	18
ADO	10
ADORA1	1
ADORA2A	22
ADORA2A-AS1	22
ADORA2B	17
ADORA3	1
ADPGK	15
ADPRH	3
ADPRHL1	13
ADPRHL2	1
ADPRM	17
ADRA1A	8
ADRA1D	20
ADRA2A	10
ADRA2B	2
ADRA2C	4
ADRB1	10
ADRB2	5
ADRBK1	11
ADRBK2	22
ADRM1	20
ADSL	22
ADSS	1
ADSSL1	14
ADTRP	6
AEBP1	7
AEBP2	12
AEN	15
AES	19
AFAP1	4
AFAP1L1	5
AFAP1L2	10
AFF1	4
AFF3	2
AFF4	5
AFG3L1P	16
AFG3L2	18
AFMID	17
AFTPH	2
AGA	4
AGAP1	2
AGAP2	12
AGAP2-AS1	12
AGAP3	7
AGAP4	10
AGAP5	10
AGAP6	10
AGBL2	11
AGBL3	7
AGBL4	1
AGBL5	2
AGER	6
AGFG1	2
AGFG2	7
AGGF1	5
AGK	7
AGMAT	1
AGMO	7
AGO1	1
AGO2	8
AGO3	1
AGO4	1
AGPAT1	6
AGPAT2	9
AGPAT3	21
AGPAT4	6
AGPAT4-IT1	6
AGPAT5	8
AGPS	2
AGRN	1
AGTPBP1	9
AGTR1	3
AGTRAP	1
AHCTF1	1
AHCY	20
AHCYL1	1
AHCYL2	7
AHDC1	1
AHI1	6
AHNAK	11
AHNAK2	14
AHR	7
AHSA1	14
AHSA2	2
AICDA	12
AIDA	1
AIF1	6
AIF1L	9
AIFM1	X
AIFM2	10
AIFM3	22
AIG1	6
AIM1	6
AIM1L	1
AIMP1	4
AIMP2	7
AIP	11
AIPL1	17
AIRE	21
AJAP1	1
AJUBA	14
AK1	9
AK2	1
AK3	9
AK4	1
AK5	1
AK7	14
AK8	9
AK9	6
AKAP1	17
AKAP10	17
AKAP11	13
AKAP12	6
AKAP13	15
AKAP17A	X
AKAP2	9
AKAP3	12
AKAP5	14
AKAP7	6
AKAP8	19
AKAP8L	19
AKAP9	7
AKIP1	11
AKIRIN1	1
AKIRIN2	6
AKNA	9
AKNAD1	1
AKR1A1	1
AKR1B1	7
AKR1E2	10
AKR7A2	1
AKR7A3	1
AKT1	14
AKT1S1	19
AKT2	19
AKT3	1
AKTIP	16
ALAD	9
ALAS1	3
ALCAM	3
ALDH16A1	19
ALDH18A1	10
ALDH1A1	9
ALDH1A2	15
ALDH1A3	15
ALDH1B1	9
ALDH1L2	12
ALDH2	12
ALDH3A2	17
ALDH3B1	11
ALDH4A1	1
ALDH5A1	6
ALDH6A1	14
ALDH7A1	5
ALDH8A1	6
ALDH9A1	1
ALDOA	16
ALDOC	17
ALG1	16
ALG10	12
ALG10B	12
ALG11	13
ALG12	22
ALG13	X
ALG14	1
ALG1L	3
ALG1L2	3
ALG2	9
ALG3	3
ALG5	13
ALG6	1
ALG8	11
ALG9	11
ALK	2
ALKBH1	14
ALKBH2	12
ALKBH3	11
ALKBH4	7
ALKBH5	17
ALKBH6	19
ALKBH7	19
ALKBH8	11
ALMS1	2
ALOX12	17
ALOX12P2	17
ALOX5	10
ALOX5AP	13
ALOXE3	17
ALPK1	4
ALPK3	15
ALPL	1
ALPP	2
ALS2	2
ALS2CL	3
ALS2CR11	2
ALS2CR12	2
ALX3	1
ALYREF	17
AMACR	5
AMBRA1	11
AMD1	6
AMDHD1	12
AMDHD2	16
AMER1	X
AMER3	2
AMFR	16
AMH	19
AMIGO1	1
AMIGO2	12
AMIGO3	3
AMMECR1	X
AMMECR1L	2
AMN1	12
AMOT	X
AMOTL1	11
AMOTL2	3
AMPD2	1
AMPD3	11
AMT	3
AMY1A	1
AMY2A	1
AMY2B	1
AMZ2	17
AMZ2P1	17
ANAPC1	2
ANAPC10	4
ANAPC11	17
ANAPC13	3
ANAPC15	11
ANAPC16	10
ANAPC2	9
ANAPC4	4
ANAPC5	12
ANAPC7	12
ANG	14
ANGEL1	14
ANGEL2	1
ANGPT2	8
ANGPTL1	1
ANGPTL2	9
ANGPTL4	19
ANGPTL6	19
ANGPTL7	1
ANK2	4
ANK3	10
ANKAR	2
ANKDD1A	15
ANKEF1	20
ANKFY1	17
ANKH	5
ANKHD1	5
ANKHD1-EIF4EBP3	5
ANKIB1	7
ANKK1	11
ANKLE1	19
ANKLE2	12
ANKMY1	2
ANKMY2	7
ANKRA2	5
ANKRD10	13
ANKRD11	16
ANKRD12	18
ANKRD13A	12
ANKRD13B	17
ANKRD13C	1
ANKRD13D	11
ANKRD16	10
ANKRD17	4
ANKRD20A11P	21
ANKRD20A3	9
ANKRD20A4	9
ANKRD22	10
ANKRD24	19
ANKRD26	10
ANKRD27	19
ANKRD28	3
ANKRD29	18
ANKRD30B	18
ANKRD31	5
ANKRD34A	1
ANKRD35	1
ANKRD36	2
ANKRD36B	2
ANKRD36BP1	1
ANKRD36BP2	2
ANKRD37	4
ANKRD39	2
ANKRD40	17
ANKRD42	11
ANKRD44	2
ANKRD45	1
ANKRD46	8
ANKRD49	11
ANKRD50	4
ANKRD52	12
ANKRD53	2
ANKRD54	22
ANKRD6	6
ANKRD65	1
ANKRD7	7
ANKRD9	14
ANKS1A	6
ANKS1B	12
ANKS3	16
ANKS4B	16
ANKS6	9
ANKUB1	3
ANKZF1	2
ANO1	11
ANO10	3
ANO2	12
ANO4	12
ANO6	12
ANO7	2
ANO8	19
ANO9	11
ANP32A	15
ANP32B	9
ANP32E	1
ANPEP	15
ANTXR1	2
ANTXR2	4
ANTXRL	10
ANXA1	9
ANXA11	10
ANXA13	8
ANXA2	15
ANXA2R	5
ANXA3	4
ANXA4	2
ANXA5	4
ANXA6	5
ANXA7	10
ANXA8	10
ANXA8L1	10
ANXA9	1
AOAH	7
AOC1	7
AOC2	17
AOC3	17
AOC4P	17
AOX1	2
AP1AR	4
AP1B1	22
AP1G1	16
AP1G2	14
AP1M1	19
AP1M2	19
AP1S1	7
AP1S2	X
AP1S3	2
AP2A1	19
AP2A2	11
AP2B1	17
AP2M1	3
AP2S1	19
AP3B1	5
AP3B2	15
AP3D1	19
AP3M1	10
AP3M2	8
AP3S1	5
AP3S2	15
AP4B1	1
AP4E1	15
AP4M1	7
AP4S1	14
AP5B1	11
AP5M1	14
AP5S1	20
AP5Z1	7
APAF1	12
APBA1	9
APBA2	15
APBA3	19
APBB1	11
APBB1IP	10
APBB2	4
APBB3	5
APC	5
APC2	19
APCDD1	18
APEH	3
APEX1	14
APEX2	X
APH1A	1
APH1B	15
API5	11
APIP	11
APITD1	1
APLF	2
APLN	X
APLNR	11
APLP1	19
APLP2	11
APMAP	20
APOA1BP	1
APOBEC3A	22
APOBEC3B	22
APOBEC3C	22
APOBEC3D	22
APOBEC3F	22
APOBEC3G	22
APOBEC3H	22
APOBR	16
APOC1	19
APOC4-APOC2	19
APOD	3
APOE	19
APOF	12
APOL1	22
APOL2	22
APOL3	22
APOL4	22
APOL6	22
APOM	6
APOO	X
APOOL	X
APOPT1	14
APP	21
APPBP2	17
APPL1	3
APPL2	12
APRT	16
APTX	9
AQP1	7
AQP11	11
AQP3	9
AQP5	12
AQP6	12
AQR	15
AR	X
ARAF	X
ARAP1	11
ARAP2	4
ARAP3	5
ARC	8
ARCN1	11
AREL1	14
ARF1	1
ARF3	12
ARF4	3
ARF5	7
ARF6	14
ARFGAP1	20
ARFGAP2	11
ARFGAP3	22
ARFGEF1	8
ARFGEF2	20
ARFGEF3	6
ARFIP1	4
ARFIP2	11
ARFRP1	20
ARG2	14
ARGFX	3
ARGLU1	13
ARHGAP1	11
ARHGAP10	4
ARHGAP11A	15
ARHGAP11B	15
ARHGAP12	10
ARHGAP15	2
ARHGAP17	16
ARHGAP18	6
ARHGAP19	10
ARHGAP20	11
ARHGAP21	10
ARHGAP22	10
ARHGAP23	17
ARHGAP24	4
ARHGAP25	2
ARHGAP26	5
ARHGAP27	17
ARHGAP28	18
ARHGAP29	1
ARHGAP30	1
ARHGAP31	3
ARHGAP32	11
ARHGAP33	19
ARHGAP35	19
ARHGAP39	8
ARHGAP4	X
ARHGAP42	11
ARHGAP44	17
ARHGAP5	14
ARHGAP6	X
ARHGAP8	22
ARHGAP9	12
ARHGDIA	17
ARHGDIB	12
ARHGEF1	19
ARHGEF10	8
ARHGEF10L	1
ARHGEF11	1
ARHGEF12	11
ARHGEF15	17
ARHGEF16	1
ARHGEF17	11
ARHGEF18	19
ARHGEF19	1
ARHGEF2	1
ARHGEF25	12
ARHGEF26	3
ARHGEF28	5
ARHGEF3	3
ARHGEF33	2
ARHGEF35	7
ARHGEF37	5
ARHGEF38	4
ARHGEF39	9
ARHGEF4	2
ARHGEF40	14
ARHGEF5	7
ARHGEF6	X
ARHGEF7	13
ARHGEF9	X
ARID1A	1
ARID1B	6
ARID2	12
ARID3A	19
ARID3B	15
ARID4A	14
ARID4B	1
ARID5A	2
ARID5B	10
ARIH1	15
ARIH2	3
ARIH2OS	3
ARL1	12
ARL10	5
ARL11	13
ARL13B	3
ARL14EP	11
ARL15	5
ARL16	17
ARL17A	17
ARL2	11
ARL2BP	16
ARL3	10
ARL4A	7
ARL4C	2
ARL4D	17
ARL5A	2
ARL5B	10
ARL5C	17
ARL6	3
ARL6IP1	16
ARL6IP4	12
ARL6IP5	3
ARL6IP6	2
ARL8A	1
ARL8B	3
ARL9	4
ARMC1	8
ARMC10	7
ARMC12	6
ARMC2	6
ARMC4	10
ARMC5	16
ARMC6	19
ARMC7	17
ARMC8	3
ARMC9	2
ARMCX1	X
ARMCX2	X
ARMCX3	X
ARMCX5	X
ARMCX6	X
ARMT1	6
ARNT	1
ARNT2	15
ARNTL	11
ARNTL2	12
ARPC1A	7
ARPC1B	7
ARPC2	2
ARPC3	12
ARPC4	3
ARPC5	1
ARPC5L	9
ARPIN	15
ARPP19	15
ARRB1	11
ARRB2	17
ARRDC1	9
ARRDC1-AS1	9
ARRDC2	19
ARRDC3	5
ARRDC3-AS1	5
ARRDC4	15
ARRDC5	19
ARSA	22
ARSB	5
ARSD	X
ARSE	X
ARSG	17
ARSH	X
ARSI	5
ARSJ	4
ARSK	5
ART4	12
ART5	11
ARTN	1
ARV1	1
ARVCF	22
AS3MT	10
ASAH1	8
ASAH2	10
ASAH2B	10
ASAP1	8
ASAP2	2
ASAP3	1
ASB1	2
ASB13	10
ASB14	3
ASB16	17
ASB16-AS1	17
ASB6	9
ASB7	15
ASB8	12
ASB9	X
ASCC1	10
ASCC2	22
ASCC3	6
ASCL2	11
ASF1A	6
ASF1B	19
ASGR1	17
ASGR2	17
ASH1L	1
ASH2L	8
ASIC1	12
ASIC3	7
ASIC4	2
ASL	7
ASMT	X
ASMTL	X
ASNA1	19
ASNS	7
ASNSD1	2
ASPA	17
ASPH	8
ASPHD1	16
ASPHD2	22
ASPRV1	2
ASPSCR1	17
ASRGL1	11
ASTE1	3
ASTN2	9
ASUN	12
ASXL1	20
ASXL2	2
ASXL3	18
ATAD1	10
ATAD2	8
ATAD2B	2
ATAD3A	1
ATAD3B	1
ATAD3C	1
ATAD5	17
ATAT1	6
ATCAY	19
ATE1	10
ATF1	12
ATF2	2
ATF3	1
ATF4	22
ATF5	19
ATF6	1
ATF6B	6
ATF7	12
ATF7IP	12
ATF7IP2	16
ATG10	5
ATG101	12
ATG12	5
ATG13	11
ATG14	14
ATG16L1	2
ATG16L2	11
ATG2A	11
ATG2B	14
ATG3	3
ATG4A	X
ATG4B	2
ATG4C	1
ATG4D	19
ATG5	6
ATG7	3
ATG9A	2
ATG9B	7
ATHL1	11
ATIC	2
ATL1	14
ATL2	2
ATL3	11
ATM	11
ATMIN	16
ATN1	12
ATOH8	2
ATOX1	5
ATP10A	15
ATP10B	5
ATP10D	4
ATP11A	13
ATP11B	3
ATP11C	X
ATP13A1	19
ATP13A2	1
ATP13A3	3
ATP1A1	1
ATP1A1-AS1	1
ATP1A3	19
ATP1A4	1
ATP1B1	1
ATP1B2	17
ATP1B3	3
ATP1B4	X
ATP2A2	12
ATP2A3	17
ATP2B1	12
ATP2B4	1
ATP2C1	3
ATP2C2	16
ATP5A1	18
ATP5B	12
ATP5C1	10
ATP5D	19
ATP5E	20
ATP5F1	1
ATP5G1	17
ATP5G2	12
ATP5G3	2
ATP5H	17
ATP5I	4
ATP5J	21
ATP5J2	7
ATP5L	11
ATP5L2	22
ATP5O	21
ATP5S	14
ATP5SL	19
ATP6AP1	X
ATP6AP1L	5
ATP6AP2	X
ATP6V0A1	17
ATP6V0A2	12
ATP6V0B	1
ATP6V0C	16
ATP6V0D1	16
ATP6V0E1	5
ATP6V0E2	7
ATP6V0E2-AS1	7
ATP6V1A	3
ATP6V1B2	8
ATP6V1C1	8
ATP6V1C2	2
ATP6V1D	14
ATP6V1E1	22
ATP6V1E2	2
ATP6V1F	7
ATP6V1G1	9
ATP6V1G2	6
ATP6V1H	8
ATP7A	X
ATP7B	13
ATP8A2	13
ATP8B1	18
ATP8B2	1
ATP8B3	19
ATP8B4	15
ATP8B5P	9
ATP9A	20
ATP9B	18
ATPAF1	1
ATPAF2	17
ATPIF1	1
ATR	3
ATRAID	2
ATRIP	3
ATRN	20
ATRNL1	10
ATRX	X
ATXN1	6
ATXN10	22
ATXN1L	16
ATXN2	12
ATXN2L	16
ATXN3	14
ATXN7	3
ATXN7L1	7
ATXN7L2	1
ATXN7L3	17
ATXN7L3B	12
AUH	9
AUNIP	1
AUP1	2
AURKA	20
AURKAIP1	1
AURKB	17
AURKC	19
AUTS2	7
AVEN	15
AVIL	12
AVL9	7
AVPI1	10
AVPR1A	12
AVPR2	X
AXIN1	16
AXIN2	17
AXL	19
AZGP1	7
AZI2	3
AZIN1	8
AZIN2	1
B2M	15
B3GALNT1	3
B3GALNT2	1
B3GALT1	2
B3GALT2	1
B3GALT4	6
B3GALT6	1
B3GAT2	6
B3GAT3	11
B3GNT2	2
B3GNT4	12
B3GNT5	3
B3GNT6	11
B3GNT7	2
B3GNT8	19
B3GNT9	16
B3GNTL1	17
B4GALNT1	12
B4GALNT3	12
B4GALNT4	11
B4GALT1	9
B4GALT2	1
B4GALT3	1
B4GALT4	3
B4GALT5	20
B4GALT6	18
B4GALT7	5
B4GAT1	11
B9D1	17
B9D2	19
BAALC	8
BAAT	9
BABAM1	19
BACE1	11
BACE2	21
BACH1	21
BACH2	6
BAD	11
BAG1	9
BAG2	6
BAG3	10
BAG4	8
BAG5	14
BAG6	6
BAHCC1	17
BAHD1	15
BAIAP2	17
BAIAP2-AS1	17
BAIAP2L1	7
BAIAP2L2	22
BAIAP3	16
BAK1	6
BAMBI	10
BANF1	11
BANK1	4
BANP	16
BAP1	3
BARD1	2
BARX2	11
BASP1	5
BATF	14
BATF2	11
BATF3	1
BAX	19
BAZ1A	14
BAZ1B	7
BAZ2A	12
BAZ2B	2
BBC3	19
BBIP1	10
BBOX1	11
BBS1	11
BBS10	12
BBS12	4
BBS2	16
BBS4	15
BBS5	2
BBS7	4
BBS9	7
BBX	3
BCAM	19
BCAN	1
BCAP29	7
BCAP31	X
BCAR1	16
BCAR3	1
BCAS1	20
BCAS2	1
BCAS3	17
BCAS4	20
BCAT2	19
BCCIP	10
BCDIN3D	12
BCDIN3D-AS1	12
BCHE	3
BCKDHA	19
BCKDHB	6
BCKDK	16
BCL10	1
BCL11A	2
BCL11B	14
BCL2	18
BCL2L1	20
BCL2L10	15
BCL2L11	2
BCL2L12	19
BCL2L13	22
BCL2L15	1
BCL2L2	14
BCL3	19
BCL6	3
BCL6B	17
BCL7A	12
BCL7B	7
BCL7C	16
BCL9	1
BCL9L	11
BCLAF1	6
BCO1	16
BCO2	11
BCOR	X
BCORL1	X
BCR	22
BCS1L	2
BDH1	3
BDH2	4
BDKRB1	14
BDKRB2	14
BDNF	11
BDNF-AS	11
BDP1	5
BEAN1	16
BECN1	17
BEGAIN	14
BEND2	X
BEND3	6
BEND5	1
BEND6	6
BEND7	10
BEST1	11
BEST4	1
BET1	7
BET1L	11
BEX2	X
BEX4	X
BEX5	X
BFAR	16
BFSP1	20
BGLAP	1
BGN	X
BHLHA15	7
BHLHB9	X
BHLHE22	8
BHLHE40	3
BHLHE41	12
BHMT	5
BICC1	10
BICD1	12
BICD2	9
BID	22
BIK	22
BIN2	12
BIN3	8
BIRC2	11
BIRC5	17
BIRC6	2
BIVM	13
BLCAP	20
BLM	15
BLMH	17
BLNK	10
BLOC1S1	12
BLOC1S2	10
BLOC1S3	19
BLOC1S4	4
BLOC1S5	6
BLOC1S6	15
BLVRA	7
BLVRB	19
BLZF1	1
BMF	15
BMI1	10
BMP1	8
BMP2	20
BMP2K	4
BMP4	14
BMP5	6
BMP6	6
BMP7	20
BMP8A	1
BMP8B	1
BMPER	7
BMPR1A	10
BMPR2	2
BMS1	10
BMS1P1	10
BMX	X
BNC2	9
BNIP1	5
BNIP2	15
BNIP3L	8
BNIPL	1
BOC	3
BOD1	5
BOD1L1	4
BOK	2
BOLA1	1
BOLA2	16
BOLA3	2
BOLL	2
BOP1	8
BORA	13
BPGM	7
BPHL	6
BPI	20
BPIFB1	20
BPNT1	1
BPTF	17
BRAF	7
BRAP	12
BRAT1	7
BRCA1	17
BRCA2	13
BRCC3	X
BRD1	22
BRD2	6
BRD3	9
BRD4	19
BRD7	16
BRD8	5
BRD9	5
BRDT	1
BRE	2
BRF1	14
BRF2	8
BRI3	7
BRI3BP	12
BRI3BPP1	19
BRICD5	16
BRINP1	9
BRIP1	17
BRIX1	5
BRK1	3
BRMS1	11
BRMS1L	14
BROX	1
BRPF1	3
BRPF3	6
BRSK1	19
BRWD1	21
BRWD3	X
BSCL2	11
BSDC1	1
BSG	19
BSN	3
BSPRY	9
BST1	4
BST2	19
BTAF1	10
BTBD1	15
BTBD10	11
BTBD11	12
BTBD19	1
BTBD2	19
BTBD3	20
BTBD6	14
BTBD7	14
BTBD8	1
BTBD9	6
BTC	4
BTD	3
BTF3	5
BTF3L4	1
BTG1	12
BTG2	1
BTG3	21
BTK	X
BTN2A1	6
BTN2A2	6
BTN2A3P	6
BTN3A1	6
BTN3A2	6
BTN3A3	6
BTNL9	5
BTRC	10
BUB1B	15
BUB3	10
BUD13	11
BUD31	7
BYSL	6
BZRAP1	17
BZW1	2
BZW2	7
C10orf10	10
C10orf105	10
C10orf107	10
C10orf11	10
C10orf12	10
C10orf128	10
C10orf131	10
C10orf2	10
C10orf35	10
C10orf54	10
C10orf55	10
C10orf76	10
C10orf82	10
C10orf88	10
C10orf90	10
C11orf1	11
C11orf21	11
C11orf24	11
C11orf31	11
C11orf45	11
C11orf49	11
C11orf52	11
C11orf53	11
C11orf54	11
C11orf57	11
C11orf58	11
C11orf63	11
C11orf65	11
C11orf68	11
C11orf70	11
C11orf71	11
C11orf73	11
C11orf74	11
C11orf80	11
C11orf84	11
C11orf88	11
C11orf95	11
C11orf96	11
C12orf10	12
C12orf29	12
C12orf4	12
C12orf40	12
C12orf43	12
C12orf45	12
C12orf49	12
C12orf50	12
C12orf54	12
C12orf57	12
C12orf60	12
C12orf65	12
C12orf66	12
C12orf71	12
C12orf73	12
C12orf76	12
C14orf1	14
C14orf105	14
C14orf119	14
C14orf142	14
C14orf159	14
C14orf166	14
C14orf169	14
C14orf178	14
C14orf2	14
C14orf28	14
C14orf37	14
C14orf79	14
C14orf80	14
C14orf93	14
C15orf39	15
C15orf40	15
C15orf41	15
C15orf52	15
C15orf57	15
C15orf59	15
C15orf61	15
C15orf62	15
C16orf13	16
C16orf45	16
C16orf46	16
C16orf52	16
C16orf54	16
C16orf58	16
C16orf59	16
C16orf62	16
C16orf70	16
C16orf71	16
C16orf72	16
C16orf74	16
C16orf86	16
C16orf87	16
C16orf89	16
C16orf91	16
C16orf96	16
C17orf100	17
C17orf107	17
C17orf47	17
C17orf49	17
C17orf51	17
C17orf53	17
C17orf58	17
C17orf62	17
C17orf67	17
C17orf75	17
C17orf80	17
C17orf89	17
C17orf96	17
C17orf97	17
C17orf99	17
C18orf21	18
C18orf25	18
C18orf32	18
C18orf54	18
C18orf8	18
C19orf12	19
C19orf18	19
C19orf24	19
C19orf25	19
C19orf33	19
C19orf35	19
C19orf38	19
C19orf43	19
C19orf44	19
C19orf45	19
C19orf47	19
C19orf48	19
C19orf52	19
C19orf53	19
C19orf54	19
C19orf57	19
C19orf60	19
C19orf66	19
C19orf70	19
C19orf71	19
C19orf73	19
C1D	2
C1GALT1	7
C1GALT1C1	X
C1orf101	1
C1orf106	1
C1orf109	1
C1orf111	1
C1orf112	1
C1orf115	1
C1orf116	1
C1orf122	1
C1orf123	1
C1orf131	1
C1orf141	1
C1orf159	1
C1orf162	1
C1orf168	1
C1orf174	1
C1orf186	1
C1orf189	1
C1orf194	1
C1orf198	1
C1orf204	1
C1orf21	1
C1orf210	1
C1orf216	1
C1orf220	1
C1orf226	1
C1orf228	1
C1orf27	1
C1orf35	1
C1orf43	1
C1orf50	1
C1orf52	1
C1orf53	1
C1orf54	1
C1orf56	1
C1orf61	1
C1orf64	1
C1orf74	1
C1orf95	1
C1QA	1
C1QB	1
C1QBP	17
C1QC	1
C1QL1	17
C1QL2	2
C1QL3	10
C1QL4	12
C1QTNF1	17
C1QTNF2	5
C1QTNF4	11
C1QTNF6	22
C1QTNF9	13
C1QTNF9B	13
C1R	12
C1RL	12
C1RL-AS1	12
C1S	12
C20orf194	20
C20orf195	20
C20orf196	20
C20orf202	20
C20orf24	20
C20orf27	20
C20orf96	20
C21orf2	21
C21orf33	21
C21orf58	21
C21orf59	21
C21orf62	21
C21orf91	21
C22orf23	22
C22orf29	22
C22orf34	22
C22orf39	22
C22orf46	22
C2CD2	21
C2CD2L	11
C2CD3	11
C2CD4A	15
C2CD4B	15
C2CD4C	19
C2CD4D	1
C2CD5	12
C2orf15	2
C2orf16	2
C2orf40	2
C2orf42	2
C2orf44	2
C2orf47	2
C2orf49	2
C2orf50	2
C2orf61	2
C2orf68	2
C2orf69	2
C2orf70	2
C2orf71	2
C2orf72	2
C2orf73	2
C2orf74	2
C2orf76	2
C2orf81	2
C2orf83	2
C2orf88	2
C3	19
C3AR1	12
C3orf14	3
C3orf17	3
C3orf18	3
C3orf33	3
C3orf36	3
C3orf38	3
C3orf52	3
C3orf58	3
C3orf62	3
C3orf67	3
C3orf70	3
C4A	6
C4BPB	1
C4orf19	4
C4orf22	4
C4orf26	4
C4orf27	4
C4orf3	4
C4orf32	4
C4orf33	4
C4orf36	4
C4orf46	4
C4orf47	4
C4orf48	4
C5	9
C5AR1	19
C5AR2	19
C5orf15	5
C5orf22	5
C5orf24	5
C5orf28	5
C5orf30	5
C5orf34	5
C5orf38	5
C5orf42	5
C5orf45	5
C5orf46	5
C5orf49	5
C5orf51	5
C5orf58	5
C5orf60	5
C5orf63	5
C5orf64	5
C6orf1	6
C6orf106	6
C6orf120	6
C6orf132	6
C6orf136	6
C6orf141	6
C6orf15	6
C6orf163	6
C6orf201	6
C6orf203	6
C6orf226	6
C6orf25	6
C6orf47	6
C6orf48	6
C6orf52	6
C6orf62	6
C6orf89	6
C7orf25	7
C7orf26	7
C7orf31	7
C7orf43	7
C7orf49	7
